Harald Hårfagre,1,24
Olav Tryggvason,1,24
Eirik Blodøks,2,24
Håkon Sigurdsson,3,24
Harald Gråfell,3,24
Håkon den Gode,2,24
John F Kennedy,1,7
Abraham Lincoln,2,7
James Garfield,3,7
William McKinley,3,7
Bush,1,8
Obama,1,8
Trump,1,8
Nixon,2,8
Ford,2,8
Grant,3,8
Buren,3,8
Tyler,3,8
Polk,3,8
Hayes,3,8
Taft,3,8
Einar Gerhardsen,1,9
Gro Harlem Brundtland,1,9
Jens Stoltenberg,1,9
Kjell-Magne Bondevik,2,9
Trygve Bratteli,3,9
Harald,1,10
Olav,1,10
Haakon,1,10
Karl,2,10
Christian Fredrik,3,10
Oscar,3,10
